City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Katsuura,JP,35.1333,140.3,50.14,59,1,16.82,clear sky
80,Kavieng,PG,-2.5744,150.7967,82.49,80,49,14.09,scattered clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,54,40,10.36,scattered clouds
82,Aitape,PG,-3.1374,142.3475,78.64,91,100,9.01,moderate rain
83,Mount Gambier,AU,-37.8333,140.7667,40.91,93,40,0.0,mist
84,Shimoda,JP,34.6667,138.95,50.58,63,31,12.8,scattered clouds
85,Flinders,AU,-34.5833,150.8552,62.8,80,100,13.04,overcast clouds
86,Iqaluit,CA,63.7506,-68.5145,2.93,77,90,28.01,light snow
87,Marsabit,KE,2.3284,37.9899,67.87,72,63,10.47,broken clouds
88,Riyadh,SA,24.6877,46.7219,62.74,28,0,5.55,clear sky
89,Samarai,PG,-10.6167,150.6667,80.47,80,99,6.2,overcast clouds
90,Kushiro,JP,42.975,144.3747,30.58,61,70,15.43,broken clouds
91,Noumea,NC,-22.2763,166.4572,80.01,99,97,5.99,overcast clouds
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,73,37,10.6,scattered clouds
93,Lakes Entrance,AU,-37.8811,147.981,53.17,62,85,2.42,overcast clouds
94,Miandrivazo,MG,-19.5167,45.4667,88.93,45,23,7.7,few clouds
95,Korla,CN,41.7597,86.1469,28.98,60,100,4.09,overcast clouds
96,Roma,US,43.2128,-75.4557,43.84,72,90,5.75,overcast clouds
97,Vaini,TO,-21.2,-175.2,78.96,94,40,8.05,moderate rain
98,Dwarka,IN,22.2394,68.9678,76.87,57,0,10.94,clear sky
99,Magadi,IN,12.9667,77.2333,75.45,85,99,2.46,overcast clouds
100,Clyde River,CA,70.4692,-68.5914,12.43,85,100,28.77,light snow
101,Avarua,CK,-21.2078,-159.775,73.45,100,75,2.3,light rain
102,Alta Floresta,BR,-9.8756,-56.0861,73.51,96,100,3.06,light rain
103,Sebaco,NI,12.8532,-86.0963,83.62,55,74,14.29,broken clouds
104,Balykshi,KZ,47.0667,51.8667,33.8,80,0,15.66,clear sky
105,Mehamn,NO,71.0357,27.8492,18.43,75,11,19.33,few clouds
106,Provideniya,RU,64.3833,-173.3,13.1,77,17,10.49,few clouds
107,Ilulissat,GL,69.2167,-51.1,35.62,64,75,27.63,broken clouds
108,Ponta Delgada,PT,37.7333,-25.6667,68.5,68,20,6.91,few clouds
109,Mahebourg,MU,-20.4081,57.7,79.25,72,11,11.95,few clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,-20.81,89,5,6.17,clear sky
111,Tasiilaq,GL,65.6145,-37.6368,30.36,74,100,16.04,overcast clouds
112,Tiksi,RU,71.6872,128.8694,-21.05,97,100,3.8,overcast clouds
113,Dikson,RU,73.5069,80.5464,-23.15,100,77,4.52,broken clouds
114,Shiyan,CN,32.6475,110.7781,46.76,56,1,3.36,clear sky
115,Hasaki,JP,35.7333,140.8333,39.6,52,1,22.39,clear sky
116,Pevek,RU,69.7008,170.3133,-11.92,95,100,9.89,overcast clouds
117,Quatre Cocos,MU,-20.2078,57.7625,79.09,73,6,11.77,clear sky
118,Koslan,RU,63.4564,48.8989,2.61,77,100,13.38,overcast clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,57.87,81,4,11.99,clear sky
120,Tsagan Aman,RU,47.5639,46.7218,43.97,91,65,14.5,broken clouds
121,Bam,IR,29.106,58.357,52.38,50,1,2.75,clear sky
122,Punta Arenas,CL,-53.15,-70.9167,55.51,67,75,19.57,broken clouds
123,Olean,US,42.0776,-78.4297,43.12,67,100,14.27,overcast clouds
124,Batagay,RU,67.6333,134.6333,-30.64,89,100,3.69,overcast clouds
125,Balkhash,KZ,46.844,74.9804,29.3,60,100,12.71,overcast clouds
126,San Cristobal,VE,7.7669,-72.225,78.98,41,80,8.75,broken clouds
127,New Norfolk,AU,-42.7826,147.0587,44.1,63,67,2.62,broken clouds
128,Katangli,RU,51.7102,143.2326,-7.31,98,33,10.8,scattered clouds
129,Castro,BR,-24.7911,-50.0119,79.86,37,3,3.15,clear sky
130,Wawa,NG,9.9022,4.4192,86.07,21,82,3.13,broken clouds
131,Atuona,PF,-9.8,-139.0333,78.28,75,34,20.11,scattered clouds
132,Upernavik,GL,72.7868,-56.1549,10.24,72,99,7.25,overcast clouds
133,Hithadhoo,MV,-0.6,73.0833,82.2,77,82,13.42,broken clouds
134,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.24,95,71,5.03,broken clouds
135,Souillac,MU,-20.5167,57.5167,79.36,73,19,11.1,few clouds
136,Baykit,RU,61.67,96.37,4.71,83,98,9.46,overcast clouds
137,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.99,73,100,2.73,overcast clouds
138,Ambulu,ID,-8.345,113.6058,75.72,85,100,1.52,overcast clouds
139,Mago,RU,53.2514,140.1822,-17.16,97,5,1.16,clear sky
140,Muros,ES,42.7762,-9.0603,55.24,84,74,11.03,broken clouds
141,Bredasdorp,ZA,-34.5322,20.0403,66.27,70,99,18.45,light rain
142,Port Lincoln,AU,-34.7333,135.8667,57.38,80,61,11.48,broken clouds
143,Along,IN,28.1667,94.7667,58.59,83,74,1.77,broken clouds
144,Tuatapere,NZ,-46.1333,167.6833,58.82,99,91,4.81,overcast clouds
145,Berlevag,NO,70.8578,29.0864,17.91,81,22,19.64,few clouds
146,Grindavik,IS,63.8424,-22.4338,32.47,93,40,1.14,scattered clouds
147,Brae,GB,60.3964,-1.353,37.31,67,100,24.14,overcast clouds
148,Qaanaaq,GL,77.484,-69.3632,0.43,66,66,7.81,broken clouds
149,Esperance,AU,-33.8667,121.9,57.4,82,3,11.25,clear sky
150,Curanilahue,CL,-37.4667,-73.35,77.13,26,0,10.04,clear sky
151,Lavrentiya,RU,65.5833,-171.0,0.52,91,64,7.65,broken clouds
